Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,Product_ID,Product_Name,Category,Quantity,Unit_Price,Sales_Amount,Discount,Profit,Payment_Method
ORD00019,11/11/2025,CUST0701,Sneha Sharma,Female,41,Kolkata,PROD014,Kellogg's Corn Flakes,Groceries,3,218.57,655.71,0,105.5,Net Banking
ORD00020,10/4/2025,CUST0040,Vikram Das,Female,43,Chennai,PROD018,Nescafe Coffee,Beverages,2,183.16,366.32,0,85.48,UPI
ORD00021,8/8/2025,CUST0919,Isha Shah,Female,62,Pune,PROD014,Kellogg's Corn Flakes,Groceries,7,211.17,1478.19,0,293.57,Credit Card
ORD00022,3/10/2025,CUST0961,Neha Nair,Female,46,Bengaluru,PROD016,Thums Up,Beverages,7,40.1,280.7,0.15,23.05,Debit Card
ORD00023,4/7/2025,CUST0489,Pooja Khan,Male,32,Delhi,PROD008,Dove Soap,Personal Care,2,54.59,109.18,0.15,13.87,UPI
ORD00024,12/19/2025,CUST0727,Meera Sharma,Male,38,Delhi,PROD001,Parle-G Biscuits,Snacks,2,30.84,61.68,0.1,10.62,Debit Card
ORD00025,10/2/2025,CUST0419,Sahil Mehta,Male,49,Jaipur,PROD012,Dettol Handwash,Personal Care,2,107.05,214.1,0.15,22.41,Cash
ORD00026,7/31/2025,CUST0579,Kavya Mehta,Male,64,Jaipur,PROD012,Dettol Handwash,Personal Care,5,120.86,604.3,0.1,113.31,Net Banking
ORD00027,5/10/2025,CUST0803,Karan Reddy,Male,23,Kolkata,PROD018,Nescafe Coffee,Beverages,8,185.59,1484.72,0.15,220.01,Debit Card
ORD00028,8/17/2025,CUST0592,Arjun Malhotra,Female,41,Pune,PROD012,Dettol Handwash,Personal Care,7,116.64,816.48,0,169.12,Credit Card
ORD00029,12/17/2025,CUST0103,Rahul Singh,Female,31,Kolkata,PROD007,Surf Excel,Home & Cleaning,7,192.22,1345.54,0.15,210.88,UPI
ORD00030,11/4/2025,CUST0165,Rahul Das,Male,35,Mumbai,PROD013,Britannia Bread,Dairy,1,48.18,48.18,0,7.72,Cash
ORD00031,7/16/2025,CUST0091,Arjun Khan,Female,61,Jaipur,PROD003,Amul Milk,Dairy,5,59,295,0,54.14,Cash
ORD00032,3/31/2025,CUST0629,Anjali Shah,Male,49,Hyderabad,PROD017,Good Day Cookies,Snacks,5,52.84,264.2,0.15,20.16,Cash
ORD00033,1/18/2025,CUST0450,Sahil Gupta,Male,55,Ahmedabad,PROD001,Parle-G Biscuits,Snacks,4,32.33,129.32,0.15,14.14,Net Banking
ORD00034,12/2/2025,CUST0523,Manish Reddy,Male,53,Kolkata,PROD017,Good Day Cookies,Snacks,4,52.11,208.44,0,29.42,UPI
ORD00035,7/22/2025,CUST1000,Rahul Malhotra,Male,55,Lucknow,PROD006,Tata Tea,Beverages,2,131.94,263.88,0.1,33.26,Cash
ORD00036,10/9/2025,CUST0601,Simran Verma,Male,54,Kolkata,PROD007,Surf Excel,Home & Cleaning,1,190.9,190.9,0,45.1,Debit Card
ORD00037,4/10/2025,CUST0744,Nikhil Gupta,Male,42,Chennai,PROD018,Nescafe Coffee,Beverages,6,190.4,1142.4,0.05,128.57,Cash
ORD00038,10/14/2025,CUST0953,Manish Das,Male,20,Delhi,PROD013,Britannia Bread,Dairy,1,44.51,44.51,0.1,6.65,UPI
ORD00039,10/3/2025,CUST0516,Karan Iyer,Female,33,Hyderabad,PROD010,Maggi Noodles,Groceries,6,16.38,98.28,0.15,20.27,Net Banking
ORD00040,8/23/2025,CUST0257,Riya Iyer,Female,35,Mumbai,PROD015,Harpic Cleaner,Home & Cleaning,7,129.31,905.17,0,188.97,Cash
ORD00041,11/21/2025,CUST0919,Isha Shah,Female,62,Pune,PROD019,Vim Dishwash,Home & Cleaning,1,92.01,92.01,0.05,8,Credit Card
ORD00042,1/5/2025,CUST0694,Arjun Verma,Female,26,Hyderabad,PROD008,Dove Soap,Personal Care,6,55.65,333.9,0.05,53.23,Debit Card
ORD00043,4/2/2025,CUST0255,Isha Verma,Female,47,Chennai,PROD010,Maggi Noodles,Groceries,2,15.15,30.3,0.05,2.67,Cash
ORD00044,12/16/2025,CUST0322,Pooja Kapoor,Female,55,Mumbai,PROD012,Dettol Handwash,Personal Care,4,119.26,477.04,0.05,50.34,Credit Card
ORD00045,4/14/2025,CUST0511,Meera Kapoor,Male,33,Bengaluru,PROD007,Surf Excel,Home & Cleaning,4,190.86,763.44,0.05,83.52,Credit Card
ORD00046,2/10/2025,CUST0857,Anjali Kapoor,Male,49,Chennai,PROD020,Head & Shoulders,Personal Care,6,253.08,1518.48,0,152.42,Cash
ORD00047,9/10/2025,CUST0629,Anjali Shah,Male,49,Hyderabad,PROD001,Parle-G Biscuits,Snacks,1,32.32,32.32,0.05,5.7,Net Banking
ORD00048,4/24/2025,CUST0890,Neha Malhotra,Male,18,Delhi,PROD009,Aashirvaad Atta,Groceries,8,244.36,1954.88,0.15,212.1,Net Banking
ORD00049,6/27/2025,CUST0132,Anjali Sharma,Female,42,Chennai,PROD002,Tata Salt,Groceries,7,28.61,200.27,0.15,14.56,Cash
ORD00050,12/19/2025,CUST0882,Vikram Khan,Female,36,Delhi,PROD006,Tata Tea,Beverages,8,131.58,1052.64,0.15,141.56,UPI
ORD00051,5/13/2025,CUST0013,Amit Sharma,Male,36,Pune,PROD007,Surf Excel,Home & Cleaning,7,186.69,1306.83,0.05,175.64,Credit Card
ORD00052,4/5/2025,CUST0562,Sahil Verma,Female,22,Hyderabad,PROD009,Aashirvaad Atta,Groceries,4,247.6,990.4,0.15,116.45,Cash
ORD00053,7/25/2025,CUST0435,Arjun Das,Female,43,Chennai,PROD007,Surf Excel,Home & Cleaning,7,189.92,1329.44,0.05,179.42,Debit Card
ORD00054,5/19/2025,CUST0462,Pooja Patel,Female,43,Chennai,PROD006,Tata Tea,Beverages,3,131.63,394.89,0,86.25,Credit Card
ORD00055,1/5/2025,CUST0569,Simran Shah,Female,45,Delhi,PROD014,Kellogg's Corn Flakes,Groceries,7,205.68,1439.76,0,230.95,Credit Card
ORD00056,6/11/2025,CUST0432,Sahil Khan,Male,21,Hyderabad,PROD016,Thums Up,Beverages,3,43.97,131.91,0.15,19.15,Cash
ORD00057,5/11/2025,CUST0308,Priya Mehta,Male,47,Pune,PROD009,Aashirvaad Atta,Groceries,1,252.44,252.44,0,22.77,Cash
ORD00058,10/14/2025,CUST0860,Riya Kapoor,Male,26,Lucknow,PROD004,Lay's Chips,Snacks,8,37.16,297.28,0.05,39.92,Net Banking
ORD00059,12/14/2025,CUST0955,Pooja Joshi,Female,22,Chennai,PROD009,Aashirvaad Atta,Groceries,6,238.24,1429.44,0,199.67,Net Banking
ORD00060,12/11/2025,CUST0204,Rohan Joshi,Female,50,Hyderabad,PROD019,Vim Dishwash,Home & Cleaning,3,98.72,296.16,0.05,39.49,Net Banking
ORD00061,3/16/2025,CUST0500,Rahul Mehta,Female,18,Bengaluru,PROD015,Harpic Cleaner,Home & Cleaning,2,125.9,251.8,0.05,38,Credit Card
ORD00062,2/6/2025,CUST0656,Vikram Joshi,Female,38,Hyderabad,PROD011,Colgate Toothpaste,Personal Care,7,99.25,694.75,0.15,87.88,UPI
ORD00063,11/6/2025,CUST0166,Priya Shah,Female,62,Delhi,PROD011,Colgate Toothpaste,Personal Care,4,94.72,378.88,0.05,72.27,Cash
ORD00064,7/31/2025,CUST0278,Kavya Patel,Male,59,Jaipur,PROD015,Harpic Cleaner,Home & Cleaning,6,132.77,796.62,0.15,165.31,Credit Card
ORD00065,12/25/2025,CUST0189,Sahil Sharma,Male,48,Jaipur,PROD001,Parle-G Biscuits,Snacks,3,31.77,95.31,0.05,21.72,UPI
ORD00066,8/31/2025,CUST0216,Neha Shah,Female,18,Delhi,PROD006,Tata Tea,Beverages,7,115.85,810.95,0,194.02,Net Banking
ORD00067,11/13/2025,CUST0056,Aditya Reddy,Male,28,Kolkata,PROD001,Parle-G Biscuits,Snacks,7,30.86,216.02,0,21.1,Credit Card
ORD00068,3/6/2025,CUST0087,Arjun Verma,Male,42,Mumbai,PROD013,Britannia Bread,Dairy,5,44.3,221.5,0.05,32.69,Credit Card
ORD00069,6/16/2025,CUST0540,Sneha Joshi,Female,34,Ahmedabad,PROD006,Tata Tea,Beverages,1,114.63,114.63,0.05,24.64,Cash
ORD00070,12/24/2025,CUST0479,Anjali Das,Female,59,Hyderabad,PROD018,Nescafe Coffee,Beverages,5,196.13,980.65,0,240.08,Net Banking
ORD00071,11/24/2025,CUST0182,Rohan Reddy,Female,27,Pune,PROD019,Vim Dishwash,Home & Cleaning,8,94.02,752.16,0.15,98.42,Net Banking
ORD00072,7/7/2025,CUST0318,Anjali Iyer,Male,59,Pune,PROD012,Dettol Handwash,Personal Care,8,113.4,907.2,0,140.72,Cash
ORD00073,3/11/2025,CUST0267,Rohan Sharma,Female,33,Lucknow,PROD005,Coca Cola,Beverages,5,42.82,214.1,0.15,39.78,Debit Card
ORD00074,9/2/2025,CUST0294,Sahil Nair,Female,22,Delhi,PROD016,Thums Up,Beverages,1,42.13,42.13,0.1,9.14,Debit Card
ORD00075,4/7/2025,CUST0010,Simran Iyer,Female,20,Ahmedabad,PROD014,Kellogg's Corn Flakes,Groceries,5,218.31,1091.55,0,189.05,Cash
ORD00076,11/27/2025,CUST0904,Meera Sharma,Male,59,Delhi,PROD018,Nescafe Coffee,Beverages,7,191.75,1342.25,0,270.52,Cash
ORD00077,9/22/2025,CUST0849,Arjun Das,Male,61,Chennai,PROD013,Britannia Bread,Dairy,4,44.53,178.12,0.1,29.87,Net Banking
ORD00078,7/31/2025,CUST0827,Sahil Shah,Female,40,Delhi,PROD009,Aashirvaad Atta,Groceries,5,261.82,1309.1,0.15,242.02,Credit Card
ORD00079,11/13/2025,CUST0874,Priya Iyer,Male,60,Pune,PROD003,Amul Milk,Dairy,3,58.23,174.69,0,32.89,Cash
ORD00080,10/1/2025,CUST0279,Vikram Mehta,Female,32,Kolkata,PROD020,Head & Shoulders,Personal Care,8,254.32,2034.56,0,215.39,UPI
ORD00081,4/30/2025,CUST0191,Kavya Nair,Female,23,Ahmedabad,PROD004,Lay's Chips,Snacks,5,34.66,173.3,0.1,31.76,UPI
ORD00082,9/13/2025,CUST0155,Nikhil Gupta,Male,33,Kolkata,PROD001,Parle-G Biscuits,Snacks,8,29.48,235.84,0.1,28.22,Debit Card
ORD00083,7/20/2025,CUST0475,Anjali Reddy,Female,20,Mumbai,PROD002,Tata Salt,Groceries,6,26.94,161.64,0,14.47,UPI
ORD00084,1/7/2025,CUST0557,Anjali Patel,Female,45,Chennai,PROD016,Thums Up,Beverages,3,39.15,117.45,0.05,24.43,UPI
ORD00085,1/18/2025,CUST0998,Amit Malhotra,Female,26,Jaipur,PROD008,Dove Soap,Personal Care,7,58.61,410.27,0.1,45.05,Credit Card
ORD00086,3/23/2025,CUST0472,Pooja Nair,Male,23,Lucknow,PROD004,Lay's Chips,Snacks,4,35.73,142.92,0.05,32.47,UPI
ORD00087,1/27/2025,CUST0763,Anjali Das,Female,32,Lucknow,PROD018,Nescafe Coffee,Beverages,2,187.72,375.44,0.05,40.58,Credit Card
ORD00088,5/22/2025,CUST0997,Riya Shah,Male,29,Lucknow,PROD004,Lay's Chips,Snacks,4,36.57,146.28,0.05,11.47,Net Banking
ORD00089,12/20/2025,CUST0123,Manish Mehta,Male,31,Kolkata,PROD013,Britannia Bread,Dairy,4,42.81,171.24,0,30.61,Cash
ORD00090,9/13/2025,CUST0705,Neha Shah,Male,29,Bengaluru,PROD020,Head & Shoulders,Personal Care,3,261.48,784.44,0,95.92,UPI
ORD00091,11/27/2025,CUST0703,Sneha Khan,Male,44,Chennai,PROD020,Head & Shoulders,Personal Care,6,283.3,1699.8,0,153.26,Credit Card
ORD00092,10/13/2025,CUST0719,Sahil Sharma,Female,60,Delhi,PROD018,Nescafe Coffee,Beverages,2,184.09,368.18,0,49.28,Debit Card
ORD00093,3/10/2025,CUST0825,Neha Nair,Male,33,Chennai,PROD015,Harpic Cleaner,Home & Cleaning,4,119.15,476.6,0.1,60.43,Debit Card
ORD00094,12/23/2025,CUST0921,Kavya Patel,Female,57,Bengaluru,PROD002,Tata Salt,Groceries,8,29.57,236.56,0.15,26.16,Cash
ORD00095,5/21/2025,CUST0195,Manish Patel,Female,34,Chennai,PROD019,Vim Dishwash,Home & Cleaning,3,92.84,278.52,0.05,54.11,Net Banking
ORD00096,5/15/2025,CUST0937,Riya Iyer,Female,61,Jaipur,PROD018,Nescafe Coffee,Beverages,3,182.46,547.38,0,85.61,Net Banking
ORD00097,4/5/2025,CUST0376,Rohan Patel,Female,20,Hyderabad,PROD015,Harpic Cleaner,Home & Cleaning,1,133.3,133.3,0.15,16.37,UPI
ORD00098,10/3/2025,CUST0635,Sneha Singh,Male,35,Bengaluru,PROD012,Dettol Handwash,Personal Care,4,109.79,439.16,0,84.28,Cash
ORD00099,6/15/2025,CUST0195,Manish Patel,Female,34,Chennai,PROD017,Good Day Cookies,Snacks,8,53.24,425.92,0,78.46,Cash
ORD00100,3/8/2025,CUST0657,Karan Shah,Male,54,Ahmedabad,PROD011,Colgate Toothpaste,Personal Care,2,91.62,183.24,0,16.02,Credit Card
ORD00101,10/20/2025,CUST0895,Kavya Nair,Male,25,Delhi,PROD002,Tata Salt,Groceries,4,27.05,108.2,0,10.47,Cash
ORD00102,2/6/2025,CUST0674,Neha Verma,Male,55,Kolkata,PROD016,Thums Up,Beverages,5,38.29,191.45,0,35.04,UPI
ORD00103,11/24/2025,CUST0953,Manish Das,Male,20,Delhi,PROD007,Surf Excel,Home & Cleaning,8,196.07,1568.56,0,250.3,UPI
ORD00104,5/17/2025,CUST0370,Amit Shah,Male,42,Ahmedabad,PROD018,Nescafe Coffee,Beverages,7,203.93,1427.51,0,314.08,Net Banking
ORD00105,2/19/2025,CUST0042,Sneha Patel,Female,19,Lucknow,PROD003,Amul Milk,Dairy,5,57.7,288.5,0,70.19,UPI
ORD00106,10/19/2025,CUST0743,Arjun Mehta,Male,44,Bengaluru,PROD008,Dove Soap,Personal Care,7,53.81,376.67,0.15,61.37,Credit Card
ORD00107,8/23/2025,CUST0572,Amit Singh,Male,42,Delhi,PROD018,Nescafe Coffee,Beverages,7,201.76,1412.32,0.15,169.09,Cash
ORD00108,6/22/2025,CUST0905,Nikhil Malhotra,Female,49,Delhi,PROD004,Lay's Chips,Snacks,3,37.41,112.23,0.15,14.14,Credit Card
ORD00109,6/16/2025,CUST0547,Meera Reddy,Female,60,Ahmedabad,PROD020,Head & Shoulders,Personal Care,8,283.41,2267.28,0.05,373.73,Debit Card
ORD00110,7/12/2025,CUST0423,Vikram Khan,Male,38,Chennai,PROD014,Kellogg's Corn Flakes,Groceries,6,218.67,1312.02,0.15,192.66,Net Banking
ORD00111,1/1/2025,CUST0949,Pooja Joshi,Male,61,Pune,PROD009,Aashirvaad Atta,Groceries,6,273.56,1641.36,0.1,359.22,UPI
ORD00112,4/24/2025,CUST0292,Rahul Verma,Female,62,Hyderabad,PROD020,Head & Shoulders,Personal Care,1,267.19,267.19,0.05,20.59,Credit Card
ORD00113,9/19/2025,CUST0877,Vikram Das,Male,37,Kolkata,PROD011,Colgate Toothpaste,Personal Care,1,101.24,101.24,0.05,22.72,Net Banking
ORD00114,3/12/2025,CUST0585,Meera Iyer,Male,47,Pune,PROD019,Vim Dishwash,Home & Cleaning,3,86.77,260.31,0.1,32.91,Debit Card
ORD00115,7/24/2025,CUST0376,Rohan Patel,Female,20,Hyderabad,PROD019,Vim Dishwash,Home & Cleaning,4,88.65,354.6,0.05,32.21,Net Banking
ORD00116,12/20/2025,CUST0940,Priya Gupta,Female,28,Hyderabad,PROD007,Surf Excel,Home & Cleaning,2,190.54,381.08,0.1,37.52,Net Banking
ORD00117,1/29/2025,CUST0840,Arjun Singh,Female,30,Delhi,PROD004,Lay's Chips,Snacks,5,33.45,167.25,0.15,20.59,Debit Card
ORD00118,4/27/2025,CUST0357,Sneha Mehta,Male,41,Bengaluru,PROD014,Kellogg's Corn Flakes,Groceries,7,228.8,1601.6,0,364.95,Net Banking
ORD00119,10/4/2025,CUST0951,Kavya Singh,Female,26,Delhi,PROD001,Parle-G Biscuits,Snacks,7,28.74,201.18,0.15,14.88,Net Banking
ORD00120,11/1/2025,CUST0154,Karan Singh,Female,53,Mumbai,PROD011,Colgate Toothpaste,Personal Care,4,92.43,369.72,0.1,81.55,Net Banking
ORD00121,6/22/2025,CUST0517,Rohan Nair,Male,44,Hyderabad,PROD003,Amul Milk,Dairy,4,60.89,243.56,0.1,23.05,UPI
ORD00122,9/14/2025,CUST0488,Anjali Mehta,Female,62,Pune,PROD019,Vim Dishwash,Home & Cleaning,1,92.9,92.9,0.05,8.34,Cash
ORD00123,11/30/2025,CUST0793,Arjun Joshi,Female,34,Bengaluru,PROD005,Coca Cola,Beverages,3,46,138,0,22.49,Net Banking
ORD00124,6/15/2025,CUST0201,Meera Kapoor,Male,63,Delhi,PROD018,Nescafe Coffee,Beverages,4,187.41,749.64,0.05,151.01,Net Banking
ORD00125,6/26/2025,CUST0092,Karan Sharma,Male,34,Delhi,PROD004,Lay's Chips,Snacks,7,35.47,248.29,0.05,26.51,Net Banking
ORD00126,8/15/2025,CUST0672,Manish Khan,Male,58,Delhi,PROD001,Parle-G Biscuits,Snacks,5,29.26,146.3,0.05,25.68,Net Banking
ORD00127,7/11/2025,CUST0150,Arjun Khan,Male,23,Hyderabad,PROD015,Harpic Cleaner,Home & Cleaning,1,136.08,136.08,0,15.51,Credit Card
ORD00128,3/17/2025,CUST0776,Sahil Nair,Male,28,Ahmedabad,PROD003,Amul Milk,Dairy,2,63.66,127.32,0,30.72,Debit Card
ORD00129,4/18/2025,CUST0015,Manish Nair,Female,28,Chennai,PROD011,Colgate Toothpaste,Personal Care,2,94.6,189.2,0.1,14.28,Net Banking
ORD00130,3/14/2025,CUST0217,Kavya Malhotra,Male,22,Ahmedabad,PROD007,Surf Excel,Home & Cleaning,5,185.82,929.1,0.15,161.17,UPI
ORD00131,12/23/2025,CUST0386,Pooja Joshi,Female,28,Ahmedabad,PROD019,Vim Dishwash,Home & Cleaning,1,88.95,88.95,0,11.41,Net Banking
ORD00132,12/5/2025,CUST0278,Kavya Patel,Male,59,Jaipur,PROD002,Tata Salt,Groceries,8,29.35,234.8,0,21.44,Debit Card
ORD00133,7/14/2025,CUST0679,Pooja Nair,Male,33,Ahmedabad,PROD012,Dettol Handwash,Personal Care,2,104.81,209.62,0.1,22.51,Net Banking
ORD00134,4/6/2025,CUST0727,Meera Sharma,Male,38,Delhi,PROD004,Lay's Chips,Snacks,6,35.79,214.74,0.15,31.1,Credit Card
ORD00135,9/8/2025,CUST0513,Priya Gupta,Male,43,Ahmedabad,PROD015,Harpic Cleaner,Home & Cleaning,1,119.5,119.5,0.15,13.39,Cash
ORD00136,6/4/2025,CUST0763,Anjali Das,Female,32,Lucknow,PROD006,Tata Tea,Beverages,1,120.24,120.24,0.05,16.04,Credit Card
ORD00137,1/16/2025,CUST0514,Sneha Shah,Male,21,Delhi,PROD009,Aashirvaad Atta,Groceries,1,260.97,260.97,0.1,54.34,Net Banking
ORD00138,2/14/2025,CUST0972,Amit Sharma,Male,34,Jaipur,PROD009,Aashirvaad Atta,Groceries,4,243.19,972.76,0.1,167.81,Cash
ORD00139,6/9/2025,CUST0534,Pooja Singh,Female,50,Ahmedabad,PROD020,Head & Shoulders,Personal Care,4,263.28,1053.12,0.15,94.86,Net Banking
ORD00140,12/17/2025,CUST0338,Aditya Nair,Female,26,Jaipur,PROD015,Harpic Cleaner,Home & Cleaning,3,122.63,367.89,0,65.77,Credit Card
ORD00141,8/9/2025,CUST0884,Karan Gupta,Male,18,Pune,PROD005,Coca Cola,Beverages,5,47.4,237,0.15,47.27,Credit Card
ORD00142,3/2/2025,CUST0672,Manish Khan,Male,58,Delhi,PROD019,Vim Dishwash,Home & Cleaning,3,89.79,269.37,0.15,39.06,Credit Card
ORD00143,6/5/2025,CUST0326,Nikhil Mehta,Female,55,Jaipur,PROD005,Coca Cola,Beverages,1,47.92,47.92,0.1,10.5,Cash
ORD00144,1/14/2025,CUST0764,Anjali Mehta,Female,64,Hyderabad,PROD009,Aashirvaad Atta,Groceries,3,266.72,800.16,0,81.91,Net Banking
ORD00145,7/3/2025,CUST0632,Rohan Gupta,Female,53,Jaipur,PROD009,Aashirvaad Atta,Groceries,4,259.86,1039.44,0,204.62,UPI
ORD00146,11/29/2025,CUST0705,Neha Shah,Male,29,Bengaluru,PROD016,Thums Up,Beverages,3,41.01,123.03,0.15,16.7,Debit Card
ORD00147,1/17/2025,CUST0189,Sahil Sharma,Male,48,Jaipur,PROD013,Britannia Bread,Dairy,8,45.95,367.6,0,41.49,Cash
ORD00148,4/14/2025,CUST0783,Anjali Sharma,Male,39,Bengaluru,PROD001,Parle-G Biscuits,Snacks,5,32.78,163.9,0,33.8,Credit Card
ORD00149,8/23/2025,CUST0068,Manish Iyer,Male,22,Jaipur,PROD006,Tata Tea,Beverages,8,129.61,1036.88,0.1,183.78,Credit Card
ORD00150,7/21/2025,CUST0438,Nikhil Joshi,Female,57,Lucknow,PROD013,Britannia Bread,Dairy,1,46.85,46.85,0.1,8.54,Net Banking
ORD00151,1/22/2025,CUST0962,Meera Reddy,Male,20,Chennai,PROD019,Vim Dishwash,Home & Cleaning,1,92.53,92.53,0.1,13.13,Credit Card
ORD00152,9/22/2025,CUST0532,Vikram Mehta,Male,53,Chennai,PROD018,Nescafe Coffee,Beverages,7,208.54,1459.78,0,255.18,UPI
ORD00153,5/27/2025,CUST0195,Manish Patel,Female,34,Chennai,PROD010,Maggi Noodles,Groceries,8,15.15,121.2,0.05,24.35,Cash
ORD00154,3/14/2025,CUST0171,Rohan Verma,Female,23,Bengaluru,PROD014,Kellogg's Corn Flakes,Groceries,5,218.81,1094.05,0,215.85,Cash
ORD00155,10/27/2025,CUST0850,Amit Gupta,Female,32,Hyderabad,PROD015,Harpic Cleaner,Home & Cleaning,2,132.3,264.6,0,29.25,Net Banking
ORD00156,10/30/2025,CUST0139,Sahil Gupta,Female,62,Hyderabad,PROD013,Britannia Bread,Dairy,7,44.93,314.51,0,34.72,Credit Card
ORD00157,3/5/2025,CUST0904,Meera Sharma,Male,59,Delhi,PROD015,Harpic Cleaner,Home & Cleaning,2,123.44,246.88,0,49.9,UPI
ORD00158,9/19/2025,CUST0117,Manish Singh,Male,58,Hyderabad,PROD015,Harpic Cleaner,Home & Cleaning,6,120.35,722.1,0.1,132.3,Net Banking
ORD00159,6/21/2025,CUST0973,Amit Iyer,Male,34,Kolkata,PROD006,Tata Tea,Beverages,7,123.91,867.37,0,182.67,Net Banking
ORD00160,1/27/2025,CUST0893,Anjali Patel,Female,43,Ahmedabad,PROD005,Coca Cola,Beverages,3,48.61,145.83,0,30.73,Cash
ORD00161,3/9/2025,CUST0316,Vikram Reddy,Female,40,Delhi,PROD010,Maggi Noodles,Groceries,8,14.9,119.2,0,11.92,Credit Card
ORD00162,10/6/2025,CUST0004,Amit Gupta,Male,50,Lucknow,PROD020,Head & Shoulders,Personal Care,5,247.48,1237.4,0.1,251.04,UPI
ORD00163,8/15/2025,CUST0623,Manish Iyer,Male,61,Hyderabad,PROD016,Thums Up,Beverages,4,39.3,157.2,0.1,22.23,UPI
ORD00164,11/18/2025,CUST0616,Meera Reddy,Male,46,Lucknow,PROD020,Head & Shoulders,Personal Care,1,256.54,256.54,0.15,27.75,Net Banking
ORD00165,1/19/2025,CUST0840,Arjun Singh,Female,30,Delhi,PROD007,Surf Excel,Home & Cleaning,1,175.99,175.99,0,33.62,Credit Card
ORD00166,8/2/2025,CUST0875,Rahul Sharma,Male,44,Ahmedabad,PROD002,Tata Salt,Groceries,5,27.99,139.95,0,12.36,Credit Card
ORD00167,1/19/2025,CUST0166,Priya Shah,Female,62,Delhi,PROD010,Maggi Noodles,Groceries,3,16.42,49.26,0.15,5.91,UPI
ORD00168,8/7/2025,CUST0787,Simran Sharma,Female,23,Hyderabad,PROD010,Maggi Noodles,Groceries,6,15.08,90.48,0.1,17.87,Net Banking
ORD00169,7/31/2025,CUST0067,Pooja Joshi,Female,22,Mumbai,PROD010,Maggi Noodles,Groceries,8,14.55,116.4,0.05,15.04,Net Banking
ORD00170,9/5/2025,CUST0215,Rohan Shah,Female,24,Ahmedabad,PROD007,Surf Excel,Home & Cleaning,1,173.95,173.95,0.15,36.64,Net Banking
ORD00171,10/22/2025,CUST0957,Nikhil Verma,Female,52,Jaipur,PROD010,Maggi Noodles,Groceries,7,15.62,109.34,0.05,12.9,Net Banking
